,title,img,link
36,"시진핑, 푸틴과 중동 논의…""이스라엘 휴전해야""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250620052254671_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250620052254671?srt=l&d=Y
37,"이스라엘 ""이란, 집속탄 탑재 탄도미사일로 공격""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250620052223913_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250620052223913?srt=l&d=Y
38,"이란 ""테헤란서 활동한 이스라엘 간첩 24명 체포""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250620052157910_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250620052157910?srt=l&d=Y
39,"이스라엘 ""하메네이는 히틀러…존재 없애야""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250620052120802_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250620052120802?srt=l&d=Y
40,"백악관 ""트럼프, 이란 공격 여부 2주 내 결정할 것""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250620051714560_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250620051714560?srt=l&d=Y
41,"'사냥 대신 시식 코너?' 정육점 습격한 사자 영상, 사실은",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250619190317843_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250619190317843?srt=l&d=Y
42,"美국방부 ""韓 등 아시아 동맹도 GDP 5% 수준의 국방비 지출해야""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620043949899_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620043949899?srt=l&d=Y
43,"IAEA ""우크라이나 자포리자 원전, 전쟁 중 재가동 불가""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620040639712_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620040639712?srt=l&d=Y
44,"[속보] 美국방부 ""한국 등 아시아 동맹도 GDP 5% 국방비 지출 충족해야""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620035912368_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620035912368?srt=l&d=Y
45,"백악관 ""트럼프, 이란 공격 여부 2주 내 결정…협상 가능성 상당""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620030844666_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620030844666?srt=l&d=Y
46,"[속보] 백악관 ""트럼프, 2주 안에 對이란 공격 여부 결정""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620024443802_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620024443802?srt=l&d=Y
47,"[속보] 백악관 ""트럼프, 이란과 협상 가능성 상당하다 판단""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620024352013_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620024352013?srt=l&d=Y
48,"트럼프, 틱톡 미국 사업권 매각 시한 또 연장…이번엔 90일",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250620010854576_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250620010854576?srt=l&d=Y
49,"이스라엘 ""이란, 집속탄 장착 탄도미사일로 공격""",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250619232800160_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250619232800160?srt=l&d=Y
50,"러시아·우크라이나, 포로 교환…규모는 공개 안 돼",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/AKR/20250619/AKR20250619232230304_01_i.jpg,https://www.yonhapnewstv.co.kr/news/AKR20250619232230304?srt=l&d=Y
51,"마이크로소프트, 수천명 감축 계획…AI가 일자리 대체하나",https://yonhapnewstv-prod.s3.ap-northeast-2.amazonaws.com/article/MYH/20250619/MYH20250619231907301_P1.jpg,https://www.yonhapnewstv.co.kr/news/MYH20250619231907301?srt=l&d=Y
