,name,date,en,price,percent
0,미국,2025.06.20,USDKRW,"1,377.64",-0.32%
1,일본,2025.06.20,JPYKRW,948.37,-0.02%
2,중국,2025.06.20,CNYKRW,191.64,-0.31%
3,유로,2025.06.20,EURKRW,"1,584.48",+0.02%
4,홍콩,2025.06.20,HKDKRW,175.49,-0.32%
